fiyat,net_metrekare,oda_sayısı,dairenin_katı,ısıtma,banyo_sayısı,tipi,bina_yaşı,site_içerisinde,yapı_durumu,takas,wc_sayısı,yapı_tipi,aidat,eşya_durumu
1200000.0,100.0,2,2,1,1,1,2,1,1,1,2,0,1,0
3300000.0,170.0,4,2,3,2,1,0,1,1,1,2,0,1,0
1320000.0,55.0,1,2,1,1,1,0,1,0,0,1,0,1,0
1850000.0,90.0,2,2,1,1,1,0,1,0,0,1,0,1,0
1575000.0,60.0,1,2,1,1,1,0,1,1,1,2,0,1,0
2350000.0,140.0,3,2,0,1,1,1,0,1,1,2,0,1,0
2050000.0,145.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2550000.0,125.0,3,2,1,2,1,0,1,0,1,2,0,1,0
1825000.0,135.0,3,2,3,0,1,2,1,1,1,2,0,1,0
1300000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,0,0
4200000.0,197.0,3,4,1,2,6,1,0,1,0,2,0,1,0
3000000.0,180.0,4,2,1,2,1,0,1,1,1,2,0,1,0
1750000.0,89.0,2,2,1,1,1,0,1,1,0,2,0,1,0
2450000.0,85.0,2,2,1,1,1,0,1,0,1,1,0,1,0
3000000.0,160.0,3,2,1,2,1,0,1,0,0,2,0,1,0
1720000.0,118.0,3,2,1,1,1,0,1,1,0,2,0,1,0
1500000.0,88.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1220000.0,115.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1350000.0,140.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1800000.0,120.0,3,2,1,1,1,0,1,0,1,2,0,1,0
1750000.0,85.0,2,2,1,1,1,2,1,1,1,1,0,1,0
3300000.0,220.0,4,2,1,2,1,0,1,0,0,2,0,1,0
295000.0,130.0,2,2,3,1,3,1,1,1,0,2,0,1,0
1745000.0,85.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1675000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1650000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1375000.0,55.0,1,2,1,1,1,0,1,1,0,2,0,1,1
1830000.0,125.0,3,2,1,1,1,0,1,1,1,2,0,1,0
3200000.0,135.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1050000.0,115.0,4,2,1,1,1,1,1,1,1,2,0,1,0
3750000.0,130.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1500000.0,100.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1990000.0,100.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2550000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2450000.0,130.0,3,1,1,1,1,2,1,1,1,2,0,1,0
1250000.0,52.0,1,2,1,1,1,2,1,1,1,2,0,1,0
1675000.0,85.0,2,2,1,1,1,2,1,1,0,1,0,1,0
1600000.0,95.0,2,2,1,1,1,1,1,1,0,1,0,1,0
2300000.0,130.0,3,2,0,1,1,2,1,1,1,2,0,1,0
4500000.0,300.0,4,2,1,2,1,0,1,0,1,2,0,0,0
5850000.0,155.0,3,2,1,2,1,2,0,1,1,2,0,1,0
2275000.0,140.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1900000.0,110.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1250000.0,85.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1150000.0,80.0,2,2,3,1,1,1,1,1,1,2,0,1,0
2750000.0,130.0,3,2,1,2,1,0,1,1,1,2,0,1,0
2200000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
3500000.0,120.0,3,2,1,1,1,0,1,1,1,2,0,0,0
840000.0,95.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1449000.0,120.0,3,2,0,1,1,1,1,1,0,2,0,1,0
1900000.0,115.0,3,2,1,2,1,0,1,1,0,2,0,1,0
1450000.0,120.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2348000.0,120.0,3,2,1,2,1,1,1,1,1,2,0,1,0
1645000.0,80.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1875000.0,85.0,2,2,1,1,1,1,1,1,1,1,0,1,1
1100000.0,65.0,1,2,2,1,1,0,1,0,1,1,0,1,1
4500000.0,350.0,4,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,90.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1200000.0,55.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1249000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
3100000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1990000.0,90.0,3,2,1,2,1,1,0,1,0,2,0,1,0
2690000.0,165.0,3,2,1,2,1,2,0,1,0,2,0,1,0
1950000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1895000.0,115.0,3,2,1,1,1,1,1,1,1,1,0,1,0
5500000.0,260.0,4,2,1,2,1,0,1,1,0,2,0,1,0
1549000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3250000.0,130.0,3,2,1,2,1,1,1,1,0,2,0,1,0
1995000.0,60.0,1,2,1,1,1,2,0,1,1,2,0,1,0
1350000.0,115.0,3,2,3,1,1,1,1,1,1,2,0,1,0
1080000.0,90.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1550000.0,125.0,3,2,3,1,1,1,0,1,1,2,0,1,0
1350000.0,110.0,3,2,3,1,1,1,0,1,1,2,0,1,0
370000.0,128.0,0,2,3,1,1,0,1,1,1,2,0,1,0
2000000.0,110.0,2,2,1,2,1,0,0,1,1,2,0,1,0
2900000.0,145.0,3,2,1,2,1,2,1,1,1,2,0,1,0
1785000.0,100.0,2,2,1,2,1,0,1,1,1,2,0,1,0
1595000.0,92.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1695000.0,125.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1650000.0,80.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1800000.0,125.0,3,2,1,2,1,2,1,1,0,2,0,1,0
1800000.0,125.0,3,2,1,2,1,2,1,1,0,2,0,1,0
1550000.0,340.0,4,4,3,2,1,1,1,1,0,2,0,1,0
1675000.0,70.0,2,2,1,1,1,2,1,1,0,1,0,1,0
1675000.0,90.0,2,2,1,1,1,1,1,1,0,1,0,1,0
2500000.0,135.0,3,2,1,1,1,1,1,1,1,1,0,1,0
1600000.0,110.0,3,2,0,1,1,1,0,1,1,2,0,1,0
1300000.0,80.0,1,2,1,1,1,0,1,1,1,2,0,1,0
2390000.0,135.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1850000.0,85.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2300000.0,150.0,3,2,0,2,1,2,1,1,1,2,0,1,0
1895000.0,110.0,2,2,1,1,1,2,1,1,0,1,0,1,0
2300000.0,80.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1630000.0,70.0,2,2,1,1,1,0,1,1,0,1,0,1,0
2599000.0,140.0,3,2,1,1,1,2,1,1,1,1,0,1,0
1700000.0,100.0,2,2,1,1,1,0,1,1,1,1,0,1,0
1550000.0,98.0,2,2,1,0,1,2,1,1,1,2,0,1,0
2350000.0,100.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1290000.0,129.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1825000.0,85.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1735000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1950000.0,120.0,3,2,3,1,1,1,1,1,1,2,0,1,0
2475000.0,110.0,3,2,1,1,1,2,1,1,0,2,0,1,0
2649000.0,110.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2300000.0,100.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1225000.0,118.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1800000.0,110.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2490000.0,125.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1650000.0,80.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2300000.0,97.0,2,2,1,2,1,0,1,1,1,2,0,1,0
1595000.0,105.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1375000.0,60.0,1,2,1,1,1,2,1,1,0,1,0,1,0
16000000.0,3.1,4,2,1,3,5,0,1,0,0,3,0,0,0
2700000.0,125.0,3,2,1,1,1,2,1,1,1,2,0,1,0
2250000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3050000.0,125.0,2,2,1,2,1,0,1,0,1,2,0,1,0
1290000.0,114.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1500000.0,105.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2250000.0,120.0,3,2,1,1,1,0,1,1,0,2,0,1,0
1750000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
3200000.0,100.0,2,2,1,1,1,0,0,1,1,2,0,1,0
1950000.0,80.0,2,2,1,2,1,0,0,1,1,2,0,1,0
1575000.0,80.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2225000.0,100.0,2,2,1,2,1,0,1,1,1,2,0,1,0
1925000.0,138.0,4,2,1,2,1,0,1,1,1,2,0,1,0
1950000.0,75.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2525000.0,110.0,3,2,3,1,1,1,1,1,1,2,0,1,0
1990000.0,115.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1950000.0,125.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1800000.0,90.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2100000.0,125.0,4,2,1,1,1,1,1,1,1,2,0,1,0
1500000.0,105.0,2,2,3,1,1,1,1,1,1,2,0,1,0
3050000.0,85.0,2,2,1,1,1,1,1,1,0,1,0,1,0
2150000.0,85.0,2,2,1,1,1,2,1,1,0,2,0,1,0
1675000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,80.0,2,2,1,1,1,0,0,1,1,2,0,1,0
2000000.0,110.0,2,2,1,2,1,0,0,1,1,2,0,1,0
2900000.0,145.0,3,2,1,2,1,2,1,1,1,2,0,1,0
1785000.0,100.0,2,2,1,2,1,0,1,1,1,2,0,1,0
1675000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1750000.0,80.0,2,2,1,1,1,0,0,1,1,2,0,1,0
1880000.0,90.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3250000.0,136.0,3,2,1,1,1,1,1,1,0,1,0,1,0
2100000.0,90.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1560000.0,60.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1525000.0,75.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2000000.0,90.0,2,2,1,1,1,2,1,1,1,2,0,1,0
1650000.0,88.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1575000.0,65.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1575000.0,65.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1630000.0,70.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1575000.0,65.0,1,2,1,1,1,2,1,1,0,1,0,1,0
1650000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2450000.0,125.0,3,2,1,1,1,0,1,1,0,1,0,1,0
2450000.0,135.0,3,2,1,1,1,0,1,1,0,1,0,1,0
2000000.0,105.0,2,2,1,2,1,0,1,1,1,1,0,1,0
1590000.0,90.0,2,2,1,1,1,0,1,1,1,1,0,1,0
1950000.0,95.0,2,2,1,2,1,0,1,1,1,1,0,1,0
1500000.0,80.0,2,2,1,1,1,0,1,1,1,1,0,1,0
2620000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2650000.0,130.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1765000.0,98.0,2,2,1,1,1,1,1,1,1,2,0,1,0
3000000.0,199.0,2,4,3,3,1,1,1,1,1,2,0,1,0
3195000.0,200.0,4,2,0,3,1,0,1,1,0,2,0,1,0
2250000.0,120.0,3,2,1,1,1,0,1,0,0,2,0,1,0
2050000.0,73.0,2,2,3,1,4,2,1,1,0,2,0,1,1
2050000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
700000.0,100.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1450000.0,50.0,1,2,2,1,1,0,1,0,1,2,0,1,0
2395000.0,130.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2850000.0,115.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1250000.0,90.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1540000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
12000000.0,200.0,3,4,1,2,1,0,1,0,1,2,0,0,0
1290000.0,125.0,3,2,1,1,1,2,1,1,1,2,0,1,0
920000.0,270.0,2,4,3,1,1,1,1,1,1,2,0,0,0
2850000.0,95.0,2,2,1,1,1,0,1,0,0,2,0,1,0
1150000.0,85.0,2,2,1,1,1,0,1,0,0,2,0,1,0
3395000.0,110.0,3,2,1,1,1,0,1,0,0,2,0,1,0
25000000.0,240.0,4,4,1,4,1,0,1,0,1,4,0,0,0
990000.0,140.0,3,2,2,1,1,1,1,1,1,2,0,0,0
2050000.0,135.0,3,2,1,1,1,1,1,1,0,1,0,1,0
1975000.0,120.0,3,2,1,1,1,2,1,1,0,2,0,1,0
3900000.0,500.0,4,2,3,2,3,1,1,1,0,2,0,1,0
2350000.0,120.0,3,2,1,2,1,1,1,1,0,2,0,1,0
1550000.0,85.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2100000.0,96.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1250000.0,125.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2845000.0,120.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1800000.0,70.0,1,2,1,1,1,0,0,1,1,2,0,1,0
3000000.0,100.0,2,2,1,2,1,0,0,1,1,2,0,1,0
4000000.0,135.0,3,2,1,2,1,0,0,1,1,2,0,1,0
1650000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,1
2850000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
3250000.0,200.0,4,2,1,1,1,2,1,1,0,2,0,1,0
1645000.0,80.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1375000.0,135.0,3,0,1,1,1,2,1,1,1,2,0,1,0
2790000.0,105.0,3,2,1,1,1,0,1,0,1,2,0,1,0
1900000.0,135.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2540000.0,90.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2350000.0,125.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2750000.0,125.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1695000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2700000.0,120.0,3,2,1,1,1,0,1,1,1,2,0,1,0
2799000.0,110.0,3,4,2,1,1,1,1,1,1,2,0,1,0
1875000.0,82.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2100000.0,130.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1400000.0,74.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1350000.0,110.0,3,2,3,1,1,2,1,1,1,2,0,1,0
1650000.0,105.0,2,2,1,1,1,0,1,1,0,2,0,1,0
2100000.0,180.0,4,2,1,1,1,1,1,1,0,2,0,1,0
1785000.0,90.0,2,2,1,2,1,0,1,1,1,2,0,1,0
2375000.0,125.0,3,2,2,1,1,1,0,1,1,2,0,1,0
2750000.0,90.0,3,2,1,1,1,1,1,1,0,2,0,1,0
10750000.0,240.0,4,2,1,1,5,1,1,1,0,2,0,1,0
910000.0,100.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2275000.0,120.0,3,2,1,2,1,0,1,1,1,2,0,1,0
2475000.0,115.0,3,2,1,1,1,2,1,1,1,2,0,1,0
2495000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2550000.0,135.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2750000.0,130.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2400000.0,200.0,4,2,1,2,1,0,1,1,0,2,0,1,0
2450000.0,135.0,3,2,1,1,1,2,1,1,1,2,0,1,0
2250000.0,45.0,0,2,1,1,1,0,1,0,0,1,0,1,0
1250000.0,85.0,2,2,1,1,1,1,1,1,1,2,0,1,0
760000.0,90.0,2,2,3,1,3,1,1,1,1,1,0,1,0
1500000.0,100.0,2,2,3,1,4,1,1,1,1,2,0,1,0
1600000.0,100.0,2,2,0,1,1,1,1,1,1,2,0,1,0
1550000.0,55.0,1,2,1,1,1,2,1,1,0,2,0,1,0
1575000.0,65.0,2,2,1,1,1,2,1,1,1,2,0,1,0
5900000.0,250.0,4,2,1,2,1,1,1,1,0,2,0,1,0
1830000.0,85.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1795000.0,130.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1200000.0,100.0,2,2,1,1,1,1,1,1,1,2,0,1,0
2475000.0,130.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1265000.0,100.0,2,2,3,1,1,1,1,1,1,2,0,1,0
665000.0,75.0,1,2,3,1,1,1,1,1,1,1,0,1,1
2495000.0,130.0,3,2,1,1,1,1,1,1,1,1,0,1,0
1750000.0,90.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1750000.0,80.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1775000.0,85.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1775000.0,85.0,2,2,1,1,1,0,1,1,0,2,0,1,0
4500000.0,135.0,3,2,1,2,1,0,0,1,1,2,0,1,0
1800000.0,299.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1900000.0,130.0,3,2,1,2,1,2,1,1,1,2,0,1,0
2175000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1550000.0,104.0,2,2,1,1,1,0,1,1,0,2,0,1,0
1580000.0,135.0,3,2,1,1,1,1,0,1,1,2,0,1,0
2400000.0,130.0,3,2,0,2,1,0,0,1,1,2,0,1,0
3290000.0,118.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2650000.0,85.0,2,2,3,1,4,1,1,1,0,2,0,1,0
1730000.0,115.0,3,2,0,1,1,1,1,1,1,2,0,1,0
2200000.0,250.0,4,2,0,2,1,1,1,1,1,2,0,1,0
2150000.0,110.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1550000.0,56.0,1,2,1,1,1,0,0,1,0,2,0,1,0
2650000.0,140.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2600000.0,130.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1850000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3740000.0,150.0,3,2,1,2,1,2,1,1,0,2,0,1,0
2550000.0,110.0,3,2,1,2,1,1,1,1,0,2,0,1,0
3600000.0,120.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1650000.0,85.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2495000.0,130.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1850000.0,90.0,2,2,1,1,1,1,1,1,1,1,0,1,0
1925000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1575000.0,80.0,2,2,1,1,1,1,1,1,1,1,0,1,0
5250000.0,100.0,2,2,1,1,1,2,1,1,1,1,0,1,0
2400000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
2200000.0,110.0,3,2,1,1,1,1,1,1,0,1,0,1,0
3250000.0,140.0,3,2,1,2,1,1,1,1,0,2,0,1,0
1750000.0,80.0,2,2,1,1,1,0,1,1,0,1,0,1,0
3200000.0,130.0,3,2,1,2,1,2,0,1,1,2,0,1,0
1485000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,0
2350000.0,80.0,3,2,1,1,1,0,1,1,1,2,0,1,0
739000.0,48.0,1,2,2,1,1,0,1,1,1,2,0,1,0
2450000.0,130.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1775000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,1
2290000.0,105.0,2,2,1,1,1,0,1,1,1,2,0,1,1
1875000.0,120.0,2,2,1,1,1,1,1,1,0,2,0,1,0
4750000.0,150.0,3,2,1,1,1,2,1,1,0,2,0,1,0
21750000.0,500.0,4,2,1,4,6,0,1,1,1,2,0,1,0
1950000.0,117.0,3,2,1,1,1,2,1,1,1,2,0,1,0
19750000.0,450.0,4,2,1,3,5,0,1,1,0,2,0,1,0
1450000.0,50.0,1,2,2,1,1,0,1,0,1,1,0,1,0
2400000.0,71.0,2,2,1,1,1,0,1,0,0,0,0,1,0
2750000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
3490000.0,150.0,4,2,1,2,1,2,1,1,1,2,0,1,0
2650000.0,130.0,3,2,1,1,1,0,1,1,1,2,0,1,0
2850000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
2650000.0,115.0,3,2,1,1,1,1,1,1,1,2,0,1,0
5300000.0,3.306,4,2,4,3,5,2,1,1,1,3,0,0,0
1700000.0,85.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2150000.0,75.0,2,2,1,1,1,0,1,1,1,2,0,1,0
6850000.0,200.0,4,2,1,2,5,0,1,1,0,2,0,1,0
1375000.0,85.0,2,2,1,1,1,2,1,1,1,2,0,1,0
6450000.0,220.0,4,2,1,2,5,2,1,1,1,2,0,1,0
3675000.0,185.0,4,2,1,2,1,0,1,1,0,2,0,1,0
21750000.0,500.0,4,2,1,4,5,0,0,1,0,2,0,1,0
2300000.0,150.0,3,2,1,2,1,2,1,1,1,3,0,1,0
1695000.0,135.0,3,2,1,1,1,1,1,1,1,2,0,1,0
6180000.0,400.0,4,2,3,2,5,0,1,1,1,4,0,0,0
1950000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
890000.0,60.0,1,2,3,1,1,1,1,1,1,2,0,1,0
2500000.0,120.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1850000.0,95.0,2,2,1,1,1,0,1,1,1,2,0,1,0
3550000.0,232.0,4,2,1,2,1,2,1,1,1,2,0,1,0
5050000.0,150.0,4,2,1,2,5,0,1,1,1,2,0,1,0
350000.0,70.0,2,2,3,1,4,1,1,1,1,1,1,0,0
2300000.0,180.0,3,2,1,2,1,2,1,1,0,2,0,1,0
1650000.0,115.0,3,2,0,1,1,1,1,1,1,2,0,1,0
2500000.0,100.0,3,2,1,1,1,2,1,1,1,2,0,1,0
1575000.0,65.0,1,2,1,1,1,0,1,1,1,2,0,1,0
865000.0,55.0,1,2,3,1,4,0,1,1,1,1,2,1,1
2100000.0,87.0,2,2,1,1,1,0,1,0,1,1,0,1,0
1475000.0,95.0,2,2,1,1,1,1,1,1,1,2,0,1,0
1400000.0,85.0,2,2,0,1,1,1,1,1,1,2,0,1,0
3500000.0,120.0,3,2,1,1,1,0,1,0,1,1,0,1,0
1675000.0,85.0,2,2,1,1,1,2,1,1,0,2,0,1,0
2450000.0,70.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1850000.0,80.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1950000.0,100.0,3,2,1,2,1,0,1,1,0,2,0,1,0
1450000.0,63.0,2,2,1,1,1,0,1,1,1,2,0,1,0
2300000.0,100.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1600000.0,115.0,3,2,3,1,1,1,1,1,1,2,0,1,0
1000000.0,95.0,2,2,3,1,1,1,1,1,1,2,0,1,0
1630000.0,100.0,2,2,1,1,1,2,1,1,1,2,0,1,0
1925000.0,115.0,3,2,1,1,1,1,1,1,1,2,0,1,0
1775000.0,85.0,2,2,1,1,1,2,1,1,0,1,0,1,0
2300000.0,200.0,3,2,1,1,1,0,1,1,1,2,0,1,0
1925000.0,125.0,3,2,1,1,1,1,1,1,0,1,0,1,0
3750000.0,220.0,3,2,1,1,1,2,1,1,0,2,0,1,0
1050000.0,85.0,2,2,3,1,1,0,1,1,1,2,0,1,0
2650000.0,120.0,3,2,1,1,1,1,1,1,0,2,0,1,0
1750000.0,60.0,1,2,1,1,1,0,1,1,1,2,0,1,0
1400000.0,35.0,0,2,1,1,1,0,1,1,1,2,0,1,1
2500000.0,130.0,3,2,1,1,1,0,1,1,0,1,0,1,0
1975000.0,120.0,2,2,1,1,1,0,1,1,0,1,0,1,0
1900000.0,150.0,3,2,1,1,1,2,1,1,0,1,0,1,0
1600000.0,85.0,2,2,1,1,1,0,1,1,1,1,0,1,0
2400000.0,120.0,3,2,1,1,1,0,1,1,0,2,0,1,0
1890000.0,90.0,2,2,1,1,1,1,1,1,0,2,0,1,0
1270000.0,80.0,2,2,1,1,1,0,1,1,1,2,0,1,0
1950000.0,150.0,3,2,3,1,4,1,1,1,0,2,0,1,0
3300000.0,140.0,4,2,3,2,1,0,1,0,1,2,0,1,0
3250000.0,140.0,3,2,0,1,1,0,1,1,1,1,0,1,0
3100000.0,120.0,3,2,3,1,1,0,1,1,0,1,0,1,0
1750000.0,120.0,3,2,3,1,1,2,1,1,0,1,0,1,0
3300000.0,150.0,3,2,3,2,1,0,1,1,1,1,0,1,0
2810000.0,150.0,3,2,0,1,1,2,1,1,1,2,0,1,0
1730000.0,120.0,3,2,0,1,1,1,1,1,1,1,0,1,0
2550000.0,130.0,3,2,0,1,1,2,1,1,1,1,0,1,0
1050000.0,100.0,2,2,1,1,1,0,1,1,1,2,0,0,0
2730000.0,130.0,3,2,1,2,1,0,1,0,0,3,0,0,0
1550000.0,90.0,2,2,1,1,1,0,1,0,1,2,0,0,0
1605000.0,95.0,2,2,1,1,1,0,1,0,1,2,0,0,0
2600000.0,120.0,3,2,1,2,1,0,1,1,0,2,0,1,0
2479000.0,125.0,3,2,1,1,1,1,1,1,0,2,0,1,0
